mpp,PSZ2,MCXC,ACT,PSZ2(z),precision_PSZ2(z),found_PSZ2(z),all_true,found,precision,all
0.31299254881379696,0.9137931034482759,0.5147058823529411,0.2926829268292683,0.9433962264150944,0.11627906976744186,50,0.25763358778625955,130,0.3023255813953488,430
0.35649336585991825,0.9137931034482759,0.5147058823529411,0.25609756097560976,0.9433962264150944,0.15337423312883436,50,0.23091603053435114,116,0.3558282208588957,326
0.4096072451730044,0.9137931034482759,0.5147058823529411,0.2530487804878049,0.9433962264150944,0.17921146953405018,50,0.22709923664122136,114,0.40860215053763443,279
0.4442802464094558,0.9137931034482759,0.5,0.2347560975609756,0.9433962264150944,0.20833333333333334,50,0.21374045801526717,107,0.44583333333333336,240
0.4876749103076242,0.896551724137931,0.5,0.21951219512195122,0.9245283018867925,0.23671497584541062,49,0.20419847328244276,102,0.4927536231884058,207
0.5241488628971116,0.8793103448275862,0.4852941176470588,0.19817073170731708,0.9056603773584906,0.26373626373626374,48,0.18702290076335878,93,0.510989010989011,182
0.5602195825793492,0.8793103448275862,0.47058823529411764,0.18902439024390244,0.9056603773584906,0.3,48,0.17938931297709923,89,0.55625,160
0.6065145087499619,0.8620689655172413,0.4264705882352941,0.17378048780487804,0.8867924528301887,0.34057971014492755,47,0.16030534351145037,81,0.5869565217391305,138
0.6623525420503876,0.8103448275862069,0.39705882352941174,0.16158536585365854,0.8490566037735849,0.4017857142857143,45,0.1450381679389313,73,0.6517857142857143,112
0.7094912542066343,0.7931034482758621,0.39705882352941174,0.14634146341463414,0.8301886792452831,0.4731182795698925,44,0.1316793893129771,66,0.7096774193548387,93
0.7628088634005377,0.7758620689655172,0.38235294117647056,0.125,0.8113207547169812,0.5512820512820513,43,0.11450381679389313,59,0.7564102564102564,78
0.8266870587916961,0.7758620689655172,0.38235294117647056,0.11585365853658537,0.8113207547169812,0.6142857142857143,43,0.10877862595419847,57,0.8142857142857143,70
0.8671567425462425,0.7241379310344828,0.36764705882352944,0.10670731707317073,0.7735849056603774,0.6833333333333333,41,0.10114503816793893,53,0.8833333333333333,60
0.8973715091203156,0.6896551724137931,0.35294117647058826,0.09451219512195122,0.7358490566037735,0.75,39,0.08969465648854962,47,0.9038461538461539,52
0.9276292167374928,0.6379310344827587,0.3382352941176471,0.08231707317073171,0.6981132075471698,0.8222222222222222,37,0.08015267175572519,41,0.9111111111111111,45
0.9571997108166814,0.5689655172413793,0.3235294117647059,0.07317073170731707,0.6226415094339622,0.8918918918918919,33,0.06870229007633588,35,0.9459459459459459,37
0.9865237662563088,0.43103448275862066,0.2647058823529412,0.057926829268292686,0.4716981132075472,0.9615384615384616,25,0.05152671755725191,26,1.0,26
1.0,0.29310344827586204,0.17647058823529413,0.04878048780487805,0.32075471698113206,1.0,17,0.03244274809160305,17,1.0,17
