s/n,PSZ2,MCXC,eROSITA,precision_eROSITA,found_eROSITA,PSZ2(z),precision_PSZ2(z),found_PSZ2(z),all_true,found,precision,all
5.05335105,1.0,0.37142857142857144,0.1152317880794702,0.3785123966942149,229,1.0,0.06611570247933884,40,0.3188405797101449,234,0.3867768595041322,605
5.106937500000001,1.0,0.37142857142857144,0.11390728476821192,0.3873720136518771,227,1.0,0.06825938566552901,40,0.3188405797101449,232,0.39590443686006827,586
5.163059099999999,0.9827586206896551,0.37142857142857144,0.11081677704194261,0.39497307001795334,220,1.0,0.0718132854578097,40,0.3140096618357488,225,0.40394973070017953,557
5.2232980000000016,0.9655172413793104,0.37142857142857144,0.10728476821192053,0.4015151515151515,212,1.0,0.07575757575757576,40,0.3140096618357488,217,0.4109848484848485,528
5.29437,0.9655172413793104,0.37142857142857144,0.10419426048565121,0.41448692152917505,206,1.0,0.08048289738430583,40,0.3140096618357488,211,0.4245472837022133,497
5.3639328,0.9655172413793104,0.37142857142857144,0.10066225165562914,0.42795698924731185,199,1.0,0.08602150537634409,40,0.3140096618357488,204,0.43870967741935485,465
5.43414885,0.9655172413793104,0.37142857142857144,0.09713024282560706,0.4360730593607306,191,1.0,0.091324200913242,40,0.3140096618357488,196,0.4474885844748858,438
5.515713400000001,0.9655172413793104,0.35714285714285715,0.09359823399558499,0.4412470023980815,184,1.0,0.09592326139088729,40,0.30917874396135264,189,0.45323741007194246,417
5.609742350000001,0.9310344827586207,0.32857142857142857,0.09050772626931568,0.4623376623376623,178,0.975,0.1012987012987013,39,0.2995169082125604,182,0.4727272727272727,385
5.711204,0.9310344827586207,0.3142857142857143,0.08653421633554084,0.4899135446685879,170,0.975,0.11239193083573487,39,0.2898550724637681,174,0.5014409221902018,347
5.832022100000001,0.9137931034482759,0.3142857142857143,0.08256070640176601,0.5160256410256411,161,0.975,0.125,39,0.2898550724637681,165,0.5288461538461539,312
5.966476200000002,0.9137931034482759,0.3142857142857143,0.07858719646799117,0.5387323943661971,153,0.975,0.13732394366197184,39,0.2898550724637681,157,0.5528169014084507,284
6.12062285,0.9137931034482759,0.3142857142857143,0.07549668874172186,0.5770750988142292,146,0.975,0.1541501976284585,39,0.28502415458937197,150,0.5928853754940712,253
6.2958075,0.9137931034482759,0.3142857142857143,0.06710816777041943,0.6197183098591549,132,0.975,0.18309859154929578,39,0.28502415458937197,136,0.6384976525821596,213
6.52273275,0.8793103448275862,0.3142857142857143,0.059602649006622516,0.65,117,0.95,0.2111111111111111,38,0.28019323671497587,120,0.6666666666666666,180
6.826352000000003,0.8448275862068966,0.3,0.051655629139072845,0.7013888888888888,101,0.95,0.2638888888888889,38,0.2608695652173913,104,0.7222222222222222,144
7.2506403000000015,0.7758620689655172,0.2857142857142857,0.039735099337748346,0.7745098039215687,79,0.9,0.35294117647058826,36,0.20772946859903382,81,0.7941176470588235,102
8.015295900000002,0.7068965517241379,0.2714285714285714,0.030463576158940398,0.8955223880597015,60,0.85,0.5074626865671642,34,0.18357487922705315,61,0.9104477611940298,67
10.066431499999998,0.43103448275862066,0.18571428571428572,0.017218543046357615,0.9393939393939394,31,0.525,0.6363636363636364,21,0.11594202898550725,32,0.9696969696969697,33
