mpp,PSZ2,MCXC,ACT,PSZ2(z),precision_PSZ2(z),found_PSZ2(z),all_true,found,precision,all
0.2475375106351691,0.93,0.4528301886792453,0.25477707006369427,0.9634146341463414,0.09404761904761905,79,0.24060150375939848,194,0.23095238095238096,840
0.2570354032997377,0.92,0.4528301886792453,0.25477707006369427,0.9634146341463414,0.09887359198998748,79,0.23934837092731828,192,0.24030037546933666,799
0.2621653018946932,0.92,0.4528301886792453,0.24628450106157113,0.9634146341463414,0.10505319148936171,79,0.23308270676691728,187,0.24867021276595744,752
0.2705126567456517,0.9,0.44339622641509435,0.24416135881104034,0.9512195121951219,0.11001410437235543,78,0.22807017543859648,182,0.2566995768688293,709
0.28342812962400066,0.9,0.44339622641509435,0.24203821656050956,0.9512195121951219,0.11607142857142858,78,0.22681704260651628,181,0.2693452380952381,672
0.2970615202435166,0.9,0.4339622641509434,0.23354564755838642,0.9512195121951219,0.1262135922330097,78,0.21929824561403508,175,0.28317152103559873,618
0.31246687383369554,0.9,0.4339622641509434,0.22929936305732485,0.9512195121951219,0.13379073756432247,78,0.21679197994987467,173,0.2967409948542024,583
0.3290136791970011,0.9,0.41509433962264153,0.22929936305732485,0.9512195121951219,0.14579439252336449,78,0.21428571428571427,171,0.31962616822429907,535
0.345734040905866,0.9,0.4056603773584906,0.2208067940552017,0.9512195121951219,0.1601642710472279,78,0.20551378446115287,164,0.33675564681724846,487
0.3677040644277965,0.9,0.4056603773584906,0.2208067940552017,0.9512195121951219,0.17371937639198218,78,0.20426065162907267,163,0.36302895322939865,449
0.3951707994817659,0.89,0.4056603773584906,0.21656050955414013,0.9390243902439024,0.19154228855721392,77,0.19924812030075187,159,0.39552238805970147,402
0.42083898536750985,0.89,0.39622641509433965,0.208067940552017,0.9390243902439024,0.21448467966573817,77,0.19423558897243107,155,0.43175487465181056,359
0.4583325992512213,0.88,0.39622641509433965,0.19532908704883228,0.9390243902439024,0.24367088607594936,77,0.18295739348370926,146,0.4620253164556962,316
0.4939407990865994,0.85,0.3867924528301887,0.18683651804670912,0.9146341463414634,0.28517110266159695,75,0.17418546365914786,138,0.5247148288973384,263
0.5389739903016503,0.8,0.36792452830188677,0.16772823779193205,0.8536585365853658,0.3125,70,0.15914786967418545,127,0.5669642857142857,224
0.5936001787060641,0.76,0.36792452830188677,0.14861995753715498,0.8170731707317073,0.366120218579235,67,0.14411027568922305,116,0.6338797814207651,183
0.6848931383283745,0.69,0.33962264150943394,0.11677282377919321,0.7560975609756098,0.46616541353383456,62,0.12030075187969924,96,0.7218045112781954,133
0.8127969237836196,0.52,0.25471698113207547,0.08492569002123142,0.5975609756097561,0.6363636363636364,49,0.08145363408521303,65,0.8441558441558441,77
0.9944872930477068,0.37,0.20754716981132076,0.05732484076433121,0.43902439024390244,0.9473684210526315,36,0.047619047619047616,38,1.0,38
