index,srcID,RA,DEC,healpix,pred_ind
14780,57,163.55596657443755,58.90430687585098,6025018,3.3455938819315634e-07
14781,57,163.55596657443755,58.90430687585098,6025018,3.3455938819315634e-07
14782,57,163.55596657443755,58.90430687585098,6025018,3.3455938819315634e-07
14783,57,163.55596657443755,58.90430687585098,6025018,3.3455938819315634e-07
14784,57,163.55596657443755,58.90430687585098,6025018,3.3455938819315634e-07
14785,74,163.0535195328819,58.92553530836455,6024630,0.0005309581756591797
14786,74,163.0535195328819,58.92553530836455,6024630,0.0005309581756591797
14787,74,163.0535195328819,58.92553530836455,6024630,0.0005309581756591797
14788,74,163.0535195328819,58.92553530836455,6024630,0.0005309581756591797
14789,74,163.0535195328819,58.92553530836455,6024630,0.0005309581756591797
14790,74,163.0535195328819,58.92553530836455,6024630,0.0005309581756591797
14791,74,163.0535195328819,58.92553530836455,6024630,0.0005309581756591797
14792,74,163.0535195328819,58.92553530836455,6024630,0.0005309581756591797
14793,74,163.0535195328819,58.92553530836455,6024630,0.0005309581756591797
14794,74,163.0535195328819,58.92553530836455,6024630,0.0005309581756591797
14795,74,163.0535195328819,58.92553530836455,6024630,0.0005309581756591797
14796,74,163.0535195328819,58.92553530836455,6024630,0.0005309581756591797
14797,74,163.0535195328819,58.92553530836455,6024630,0.0005309581756591797
14798,74,163.0535195328819,58.92553530836455,6024630,0.0005309581756591797
14799,74,163.0535195328819,58.92553530836455,6024630,0.0005309581756591797
14800,74,163.0535195328819,58.92553530836455,6024630,0.0005309581756591797
14801,74,163.0535195328819,58.92553530836455,6024630,0.0005309581756591797
14802,74,163.0535195328819,58.92553530836455,6024630,0.0005309581756591797
14803,102,163.7142425502125,59.0267069795923,6024925,5.664825494022807e-06
14804,129,164.0379676032327,58.989127704808304,7423062,6.441932782763615e-05
14805,129,164.0379676032327,58.989127704808304,7423062,6.441932782763615e-05
14806,129,164.0379676032327,58.989127704808304,7423062,6.441932782763615e-05
14807,129,164.0379676032327,58.989127704808304,7423062,6.441932782763615e-05
14808,129,164.0379676032327,58.989127704808304,7423062,6.441932782763615e-05
14809,131,164.63431942073302,59.54211779640068,7422444,2.3037368919176515e-06
14810,131,164.63431942073302,59.54211779640068,7422444,2.3037368919176515e-06
14811,131,164.63431942073302,59.54211779640068,7422444,2.3037368919176515e-06
14812,131,164.63431942073302,59.54211779640068,7422444,2.3037368919176515e-06
14813,131,164.63431942073302,59.54211779640068,7422444,2.3037368919176515e-06
14814,131,164.63431942073302,59.54211779640068,7422444,2.3037368919176515e-06
14815,131,164.63431942073302,59.54211779640068,7422444,2.3037368919176515e-06
14816,131,164.63431942073302,59.54211779640068,7422444,2.3037368919176515e-06
14817,131,164.63431942073302,59.54211779640068,7422444,2.3037368919176515e-06
14818,134,163.25085999908117,58.67089808019084,6025041,1.039470407704357e-05
14819,134,163.25085999908117,58.67089808019084,6025041,1.039470407704357e-05
14820,158,163.2923625133364,58.92570661870287,6024984,1.9779963622568175e-06
14821,158,163.2923625133364,58.92570661870287,6024984,1.9779963622568175e-06
14822,158,163.2923625133364,58.92570661870287,6024984,1.9779963622568175e-06
14823,177,163.14915273495637,58.91561066453882,6024635,6.462633609771729e-05
14824,177,163.14915273495637,58.91561066453882,6024635,6.462633609771729e-05
14825,177,163.14915273495637,58.91561066453882,6024635,6.462633609771729e-05
14826,177,163.14915273495637,58.91561066453882,6024635,6.462633609771729e-05
14827,177,163.14915273495637,58.91561066453882,6024635,6.462633609771729e-05
14828,177,163.14915273495637,58.91561066453882,6024635,6.462633609771729e-05
14829,177,163.14915273495637,58.91561066453882,6024635,6.462633609771729e-05
14830,177,163.14915273495637,58.91561066453882,6024635,6.462633609771729e-05
14831,177,163.14915273495637,58.91561066453882,6024635,6.462633609771729e-05
14832,177,163.14915273495637,58.91561066453882,6024635,6.462633609771729e-05
14833,192,163.28326107467197,59.08976774467365,6024797,6.660602736019428e-08
14834,192,163.28326107467197,59.08976774467365,6024797,6.660602736019428e-08
14835,192,163.28326107467197,59.08976774467365,6024797,6.660602736019428e-08
14836,200,164.55238471722913,59.066591126071316,7423179,3.577378720365232e-06
14837,200,164.55238471722913,59.066591126071316,7423179,3.577378720365232e-06
14838,212,163.587410649713,59.09066777886586,6024916,4.890445779892616e-06
14839,212,163.587410649713,59.09066777886586,6024916,4.890445779892616e-06
14840,224,163.58871223602168,58.39563394422324,6027821,1.9249378624408564e-07
14841,224,163.58871223602168,58.39563394422324,6027821,1.9249378624408564e-07
14842,378,164.1341032370476,59.07643257534759,7423055,0.000116687711852137
14843,378,164.1341032370476,59.07643257534759,7423055,0.000116687711852137
14844,403,163.63198301705734,58.67284193241505,6025157,2.821087718984927e-07
