s/n,PSZ2,MCXC,ACT,PSZ2(z),precision_PSZ2(z),found_PSZ2(z),all_true,found,precision,all
5.05335105,0.896551724137931,0.45588235294117646,0.22560975609756098,0.9245283018867925,0.2474747474747475,49,0.25326370757180156,95,0.4797979797979798,198
5.106937500000001,0.896551724137931,0.45588235294117646,0.22560975609756098,0.9245283018867925,0.2512820512820513,49,0.25326370757180156,95,0.48717948717948717,195
5.163059099999999,0.896551724137931,0.45588235294117646,0.21646341463414634,0.9245283018867925,0.26344086021505375,49,0.2454308093994778,92,0.4946236559139785,186
5.2232980000000016,0.8793103448275862,0.4411764705882353,0.21341463414634146,0.9056603773584906,0.26519337016574585,48,0.2402088772845953,90,0.4972375690607735,181
5.29437,0.8793103448275862,0.4411764705882353,0.21341463414634146,0.9056603773584906,0.2681564245810056,48,0.2402088772845953,90,0.5027932960893855,179
5.3639328,0.8793103448275862,0.4264705882352941,0.21036585365853658,0.9056603773584906,0.2807017543859649,48,0.2349869451697128,88,0.5146198830409356,171
5.43414885,0.8793103448275862,0.4264705882352941,0.21036585365853658,0.9056603773584906,0.2874251497005988,48,0.2349869451697128,88,0.5269461077844312,167
5.515713400000001,0.8793103448275862,0.4117647058823529,0.21036585365853658,0.9056603773584906,0.2962962962962963,48,0.23237597911227154,87,0.5370370370370371,162
5.609742350000001,0.8793103448275862,0.39705882352941174,0.20426829268292682,0.9056603773584906,0.3137254901960784,48,0.2245430809399478,84,0.5490196078431373,153
5.711204,0.8793103448275862,0.39705882352941174,0.20426829268292682,0.9056603773584906,0.32653061224489793,48,0.2245430809399478,84,0.5714285714285714,147
5.832022100000001,0.8793103448275862,0.39705882352941174,0.19817073170731708,0.9056603773584906,0.34532374100719426,48,0.2193211488250653,82,0.5899280575539568,139
5.966476200000002,0.8793103448275862,0.38235294117647056,0.19207317073170732,0.9056603773584906,0.3779527559055118,48,0.21409921671018275,80,0.6299212598425197,127
6.12062285,0.8793103448275862,0.38235294117647056,0.18597560975609756,0.9056603773584906,0.4067796610169492,48,0.20887728459530025,78,0.6610169491525424,118
6.2958075,0.8620689655172413,0.38235294117647056,0.1798780487804878,0.9056603773584906,0.43636363636363634,48,0.20365535248041775,75,0.6818181818181818,110
6.52273275,0.8103448275862069,0.36764705882352944,0.1676829268292683,0.8490566037735849,0.4639175257731959,45,0.1906005221932115,70,0.7216494845360825,97
6.826352000000003,0.7931034482758621,0.36764705882352944,0.1524390243902439,0.8490566037735849,0.5113636363636364,45,0.17754569190600522,65,0.7386363636363636,88
7.2506403000000015,0.7586206896551724,0.35294117647058826,0.125,0.8113207547169812,0.6323529411764706,43,0.15404699738903394,57,0.8382352941176471,68
8.015295900000002,0.6379310344827587,0.27941176470588236,0.0975609756097561,0.6981132075471698,0.7708333333333334,37,0.11488250652741515,43,0.8958333333333334,48
10.066431499999998,0.43103448275862066,0.23529411764705882,0.06402439024390244,0.4716981132075472,1.0,25,0.06788511749347259,25,1.0,25
