mpp,PSZ2,MCXC,ACT,PSZ2(z),precision_PSZ2(z),found_PSZ2(z),all_true,found,precision,all
0.1,0.9310344827586207,0.5294117647058824,0.3445121951219512,0.9433962264150944,0.06544502617801047,50,0.30343511450381677,156,0.20418848167539266,764
0.2,0.9310344827586207,0.5294117647058824,0.3445121951219512,0.9433962264150944,0.06544502617801047,50,0.30343511450381677,156,0.20418848167539266,764
0.3,0.9310344827586207,0.5294117647058824,0.3323170731707317,0.9433962264150944,0.07776049766718507,50,0.2919847328244275,150,0.2332814930015552,643
0.4,0.9137931034482759,0.5147058823529411,0.2896341463414634,0.9433962264150944,0.11933174224343675,50,0.25572519083969464,131,0.3126491646778043,419
0.5,0.9137931034482759,0.5147058823529411,0.25609756097560976,0.9433962264150944,0.1773049645390071,50,0.22519083969465647,115,0.4078014184397163,282
0.6,0.8793103448275862,0.4852941176470588,0.2225609756097561,0.9056603773584906,0.23529411764705882,48,0.1984732824427481,102,0.5,204
0.7,0.8620689655172413,0.4411764705882353,0.18292682926829268,0.9056603773584906,0.35294117647058826,48,0.16221374045801526,82,0.6029411764705882,136
0.8,0.8275862068965517,0.39705882352941174,0.1402439024390244,0.8679245283018868,0.4946236559139785,46,0.12786259541984732,67,0.7204301075268817,93
0.9,0.7413793103448276,0.36764705882352944,0.11585365853658537,0.7924528301886793,0.6774193548387096,42,0.10114503816793893,53,0.8548387096774194,62
0.95,0.6724137931034483,0.3382352941176471,0.10060975609756098,0.7358490566037735,0.8297872340425532,39,0.08587786259541985,44,0.9361702127659575,47
1.0,0.5344827586206896,0.2647058823529412,0.07926829268292683,0.5849056603773585,1.0,31,0.061068702290076333,31,1.0,31
