mpp,PSZ2,MCXC,ACT,eROSITA,precision_eROSITA,found_eROSITA,PSZ2(z),precision_PSZ2(z),found_PSZ2(z),all_true,found,precision,all
0.0,1.0,0.5153846153846153,0.2824427480916031,0.14040889957907396,0.27781435154707046,422,1.0,0.05859117840684661,89,0.4623287671232877,443,0.2916392363396972,1519
0.1,1.0,0.5153846153846153,0.2824427480916031,0.14040889957907396,0.27781435154707046,422,1.0,0.05859117840684661,89,0.4623287671232877,443,0.2916392363396972,1519
0.2,1.0,0.5153846153846153,0.2824427480916031,0.14040889957907396,0.27781435154707046,422,1.0,0.05859117840684661,89,0.4623287671232877,443,0.2916392363396972,1519
0.3,1.0,0.5153846153846153,0.2748091603053435,0.1280817799158148,0.29875195007800315,383,1.0,0.06942277691107644,89,0.4589041095890411,404,0.31513260530421217,1282
0.4,0.9915254237288136,0.45384615384615384,0.24427480916030533,0.1037282020444979,0.3669833729216152,309,1.0,0.10570071258907364,89,0.4246575342465753,327,0.38836104513064135,842
0.5,0.9830508474576272,0.4461538461538462,0.22137404580152673,0.08689116055321708,0.45422535211267606,258,1.0,0.15669014084507044,89,0.410958904109589,274,0.4823943661971831,568
0.6,0.923728813559322,0.4153846153846154,0.183206106870229,0.06855081178592905,0.547683923705722,201,0.9888888888888889,0.23978201634877383,88,0.3801369863013699,213,0.5803814713896458,367
0.7,0.8983050847457628,0.38461538461538464,0.1450381679389313,0.05772699939867709,0.6346863468634686,172,0.9888888888888889,0.3247232472324723,88,0.3527397260273973,184,0.6789667896678967,271
0.8,0.847457627118644,0.3769230769230769,0.11450381679389313,0.04810583283223091,0.6911764705882353,141,0.9444444444444444,0.4117647058823529,84,0.3253424657534247,150,0.7352941176470589,204
0.85,0.7966101694915254,0.36153846153846153,0.11450381679389313,0.04359591100420926,0.7398843930635838,128,0.9,0.4624277456647399,80,0.3082191780821918,135,0.7803468208092486,173
0.86,0.788135593220339,0.36153846153846153,0.11450381679389313,0.04329524954900782,0.7650602409638554,127,0.9,0.4819277108433735,80,0.3082191780821918,133,0.8012048192771084,166
0.865,0.7796610169491526,0.36153846153846153,0.11450381679389313,0.04269392663860493,0.7716049382716049,125,0.8888888888888888,0.4876543209876543,79,0.3047945205479452,130,0.8024691358024691,162
0.868,0.7711864406779662,0.36153846153846153,0.11450381679389313,0.042393265183403486,0.7701863354037267,124,0.8777777777777778,0.484472049689441,78,0.3013698630136986,129,0.8012422360248447,161
0.869,0.7711864406779662,0.36153846153846153,0.11450381679389313,0.042393265183403486,0.7701863354037267,124,0.8777777777777778,0.484472049689441,78,0.3013698630136986,129,0.8012422360248447,161
0.8695,0.7627118644067796,0.36153846153846153,0.11450381679389313,0.04209260372820205,0.76875,123,0.8666666666666667,0.48125,77,0.2979452054794521,128,0.8,160
0.8699,0.7627118644067796,0.36153846153846153,0.11450381679389313,0.04209260372820205,0.76875,123,0.8666666666666667,0.48125,77,0.2979452054794521,128,0.8,160
0.87,0.7627118644067796,0.36153846153846153,0.11450381679389313,0.04209260372820205,0.76875,123,0.8666666666666667,0.48125,77,0.2979452054794521,128,0.8,160
0.88,0.7457627118644068,0.35384615384615387,0.11450381679389313,0.039085989176187615,0.7793103448275862,113,0.8444444444444444,0.5172413793103449,75,0.2910958904109589,118,0.8137931034482758,145
0.9,0.7457627118644068,0.34615384615384615,0.11450381679389313,0.03698135898977751,0.8153846153846154,106,0.8444444444444444,0.5769230769230769,75,0.2876712328767123,111,0.8538461538461538,130
0.95,0.635593220338983,0.3076923076923077,0.10687022900763359,0.028863499699338546,0.8229166666666666,79,0.7555555555555555,0.6979166666666666,67,0.2534246575342466,84,0.875,96
1.0,0.4576271186440678,0.2153846153846154,0.06870229007633588,0.021046301864101023,0.8405797101449275,58,0.5444444444444444,0.7101449275362319,49,0.17465753424657535,61,0.8840579710144928,69
