mpp,PSZ2,MCXC,eROSITA,precision_eROSITA,found_eROSITA,PSZ2(z),precision_PSZ2(z),found_PSZ2(z),all_true,found,precision,all
0.2475378590518105,0.017241379310344827,0.02857142857142857,0.053421633554083886,0.2540415704387991,110,0.0,0.0,0,0.022222222222222223,110,0.2540415704387991,433
0.2570354032997377,0.017241379310344827,0.02857142857142857,0.052097130242825605,0.25961538461538464,108,0.0,0.0,0,0.022222222222222223,108,0.25961538461538464,416
0.2621705426463233,0.017241379310344827,0.02857142857142857,0.04988962472406181,0.26208651399491095,103,0.0,0.0,0,0.022222222222222223,103,0.26208651399491095,393
0.2705126567456517,0.017241379310344827,0.02857142857142857,0.046799116997792496,0.26229508196721313,96,0.0,0.0,0,0.022222222222222223,96,0.26229508196721313,366
0.2834445603725031,0.017241379310344827,0.02857142857142857,0.04370860927152318,0.26706231454005935,90,0.0,0.0,0,0.022222222222222223,90,0.26706231454005935,337
0.2970615202435166,0.017241379310344827,0.02857142857142857,0.04105960264900662,0.2727272727272727,84,0.0,0.0,0,0.022222222222222223,84,0.2727272727272727,308
0.3125162456007269,0.017241379310344827,0.02857142857142857,0.038852097130242826,0.2771929824561403,79,0.0,0.0,0,0.022222222222222223,79,0.2771929824561403,285
0.3290178307351159,0.017241379310344827,0.02857142857142857,0.03620309050772627,0.2744360902255639,73,0.0,0.0,0,0.022222222222222223,73,0.2744360902255639,266
0.3458003305785561,0.017241379310344827,0.02857142857142857,0.03532008830022075,0.29098360655737704,71,0.0,0.0,0,0.022222222222222223,71,0.29098360655737704,244
0.3677040644277965,0.017241379310344827,0.02857142857142857,0.032229580573951436,0.30952380952380953,65,0.0,0.0,0,0.022222222222222223,65,0.30952380952380953,210
0.3951707994817659,0.017241379310344827,0.02857142857142857,0.029580573951434878,0.329608938547486,59,0.0,0.0,0,0.022222222222222223,59,0.329608938547486,179
0.42083898536750985,0.017241379310344827,0.02857142857142857,0.026048565121412803,0.34210526315789475,52,0.0,0.0,0,0.022222222222222223,52,0.34210526315789475,152
0.4583325992512213,0.017241379310344827,0.02857142857142857,0.02384105960264901,0.3643410852713178,47,0.0,0.0,0,0.022222222222222223,47,0.3643410852713178,129
0.494067344507461,0.017241379310344827,0.02857142857142857,0.019867549668874173,0.4019607843137255,41,0.0,0.0,0,0.022222222222222223,41,0.4019607843137255,102
0.5390076971521652,0.017241379310344827,0.02857142857142857,0.01545253863134658,0.4177215189873418,33,0.0,0.0,0,0.022222222222222223,33,0.4177215189873418,79
0.5936664647329222,0.017241379310344827,0.014285714285714285,0.010154525386313467,0.4230769230769231,22,0.0,0.0,0,0.011111111111111112,22,0.4230769230769231,52
0.6854969273146023,0.0,0.0,0.006181015452538631,0.4666666666666667,14,0.0,0.0,0,0.0,14,0.4666666666666667,30
0.8127969237836196,0.0,0.0,0.0030905077262693157,0.6363636363636364,7,0.0,0.0,0,0.0,7,0.6363636363636364,11
0.995273370078676,0.0,0.0,0.0008830022075055188,1.0,2,0.0,0.0,0,0.0,2,1.0,2
