s/n,PSZ2,MCXC,eROSITA,precision_eROSITA,found_eROSITA,PSZ2(z),precision_PSZ2(z),found_PSZ2(z),all_true,found,precision,all
5.05335105,0.017241379310344827,0.02857142857142857,0.053421633554083886,0.2540415704387991,110,0.0,0.0,0,0.022222222222222223,110,0.2540415704387991,433
5.106937500000001,0.017241379310344827,0.02857142857142857,0.052097130242825605,0.25961538461538464,108,0.0,0.0,0,0.022222222222222223,108,0.25961538461538464,416
5.163059099999999,0.017241379310344827,0.02857142857142857,0.04988962472406181,0.26208651399491095,103,0.0,0.0,0,0.022222222222222223,103,0.26208651399491095,393
5.2232980000000016,0.017241379310344827,0.02857142857142857,0.046799116997792496,0.26229508196721313,96,0.0,0.0,0,0.022222222222222223,96,0.26229508196721313,366
5.29437,0.017241379310344827,0.02857142857142857,0.04370860927152318,0.26706231454005935,90,0.0,0.0,0,0.022222222222222223,90,0.26706231454005935,337
5.3639328,0.017241379310344827,0.02857142857142857,0.04105960264900662,0.2727272727272727,84,0.0,0.0,0,0.022222222222222223,84,0.2727272727272727,308
5.43414885,0.017241379310344827,0.02857142857142857,0.038852097130242826,0.2771929824561403,79,0.0,0.0,0,0.022222222222222223,79,0.2771929824561403,285
5.515713400000001,0.017241379310344827,0.02857142857142857,0.03620309050772627,0.2744360902255639,73,0.0,0.0,0,0.022222222222222223,73,0.2744360902255639,266
5.609742350000001,0.017241379310344827,0.02857142857142857,0.03532008830022075,0.29098360655737704,71,0.0,0.0,0,0.022222222222222223,71,0.29098360655737704,244
5.711204,0.017241379310344827,0.02857142857142857,0.032229580573951436,0.30952380952380953,65,0.0,0.0,0,0.022222222222222223,65,0.30952380952380953,210
5.832022100000001,0.017241379310344827,0.02857142857142857,0.029580573951434878,0.329608938547486,59,0.0,0.0,0,0.022222222222222223,59,0.329608938547486,179
5.966476200000002,0.017241379310344827,0.02857142857142857,0.026048565121412803,0.34210526315789475,52,0.0,0.0,0,0.022222222222222223,52,0.34210526315789475,152
6.12062285,0.017241379310344827,0.02857142857142857,0.02384105960264901,0.3643410852713178,47,0.0,0.0,0,0.022222222222222223,47,0.3643410852713178,129
6.2958075,0.017241379310344827,0.02857142857142857,0.019867549668874173,0.4019607843137255,41,0.0,0.0,0,0.022222222222222223,41,0.4019607843137255,102
6.52273275,0.017241379310344827,0.02857142857142857,0.01545253863134658,0.4177215189873418,33,0.0,0.0,0,0.022222222222222223,33,0.4177215189873418,79
6.826352000000003,0.017241379310344827,0.014285714285714285,0.010154525386313467,0.4230769230769231,22,0.0,0.0,0,0.011111111111111112,22,0.4230769230769231,52
7.2506403000000015,0.0,0.0,0.006181015452538631,0.4666666666666667,14,0.0,0.0,0,0.0,14,0.4666666666666667,30
8.015295900000002,0.0,0.0,0.0030905077262693157,0.6363636363636364,7,0.0,0.0,0,0.0,7,0.6363636363636364,11
10.066431499999998,0.0,0.0,0.0008830022075055188,1.0,2,0.0,0.0,0,0.0,2,1.0,2
10.5,0.0,0.0,0.0008830022075055188,1.0,2,0.0,0.0,0,0.0,2,1.0,2
12.0,0.0,0.0,0.0004415011037527594,1.0,1,0.0,0.0,0,0.0,1,1.0,1
