s/n,PSZ2,MCXC,ACT,eROSITA,precision_eROSITA,found_eROSITA,PSZ2(z),precision_PSZ2(z),found_PSZ2(z),all_true,found,precision,all
5.05335105,1.0,0.45384615384615384,0.21374045801526717,0.11425135297654841,0.33901705115346037,338,1.0,0.08926780341023069,89,0.31048387096774194,361,0.362086258776329,997
5.106937500000001,1.0,0.45384615384615384,0.21374045801526717,0.11244738424533975,0.34942287513116477,333,1.0,0.09338929695697797,89,0.3084677419354839,356,0.37355718782791186,953
5.163059099999999,0.9915254237288136,0.45384615384615384,0.21374045801526717,0.10974143114852676,0.35951327433628316,325,1.0,0.09845132743362832,89,0.3064516129032258,348,0.38495575221238937,904
5.2232980000000016,0.9830508474576272,0.45384615384615384,0.20610687022900764,0.10673481659651232,0.3654292343387471,315,1.0,0.10324825986078887,89,0.3024193548387097,338,0.39211136890951276,862
5.29437,0.9661016949152542,0.45384615384615384,0.19083969465648856,0.1037282020444979,0.3763837638376384,306,0.9888888888888889,0.10824108241082411,88,0.2963709677419355,328,0.4034440344403444,813
5.3639328,0.9661016949152542,0.45384615384615384,0.19083969465648856,0.10072158749248346,0.38823529411764707,297,0.9888888888888889,0.11503267973856209,88,0.2963709677419355,319,0.4169934640522876,765
5.43414885,0.9491525423728814,0.43846153846153846,0.19083969465648856,0.09651232711966326,0.39335180055401664,284,0.9666666666666667,0.12049861495844875,87,0.28830645161290325,306,0.42382271468144045,722
5.515713400000001,0.940677966101695,0.4307692307692308,0.19083969465648856,0.09380637402285028,0.40588235294117647,276,0.9666666666666667,0.12794117647058822,87,0.2842741935483871,296,0.43529411764705883,680
5.609742350000001,0.9067796610169492,0.3923076923076923,0.17557251908396945,0.09019843656043296,0.424,265,0.9333333333333333,0.1344,84,0.27419354838709675,284,0.4544,625
5.711204,0.8983050847457628,0.38461538461538464,0.17557251908396945,0.08659049909801564,0.4479717813051146,254,0.9333333333333333,0.14814814814814814,84,0.26814516129032256,272,0.47971781305114636,567
5.832022100000001,0.8728813559322034,0.36153846153846153,0.15267175572519084,0.08087793144918821,0.46732673267326735,236,0.9222222222222223,0.16435643564356436,83,0.2540322580645161,251,0.497029702970297,505
5.966476200000002,0.8728813559322034,0.36153846153846153,0.1450381679389313,0.07636800962116656,0.47844827586206895,222,0.9222222222222223,0.1788793103448276,83,0.25,237,0.5107758620689655,464
6.12062285,0.864406779661017,0.35384615384615387,0.1450381679389313,0.07306073361395068,0.5096618357487923,211,0.9111111111111111,0.19806763285024154,82,0.2439516129032258,226,0.5458937198067633,414
6.2958075,0.8559322033898306,0.34615384615384615,0.1297709923664122,0.06584485868911606,0.5391061452513967,193,0.9,0.22625698324022347,81,0.23588709677419356,208,0.5810055865921788,358
6.52273275,0.8135593220338984,0.3384615384615385,0.12213740458015267,0.059230306674684305,0.5723684210526315,174,0.8666666666666667,0.2565789473684211,78,0.2217741935483871,185,0.6085526315789473,304
6.826352000000003,0.7542372881355932,0.33076923076923076,0.08396946564885496,0.05021046301864101,0.6166666666666667,148,0.8222222222222222,0.30833333333333335,74,0.20161290322580644,159,0.6625,240
7.2506403000000015,0.6864406779661016,0.3230769230769231,0.08396946564885496,0.040889957907396274,0.6971428571428572,122,0.7666666666666667,0.3942857142857143,69,0.17137096774193547,130,0.7428571428571429,175
8.015295900000002,0.5677966101694916,0.2923076923076923,0.06870229007633588,0.029765484064942876,0.7837837837837838,87,0.6555555555555556,0.5315315315315315,59,0.14112903225806453,92,0.8288288288288288,111
10.066431499999998,0.3135593220338983,0.16923076923076924,0.03816793893129771,0.016235718580877932,0.8461538461538461,44,0.36666666666666664,0.6346153846153846,33,0.07862903225806452,46,0.8846153846153846,52
