s/n,PSZ2,MCXC,ACT,PSZ2(z),precision_PSZ2(z),found_PSZ2(z),all_true,found,precision,all
5.05335105,0.91,0.4339622641509434,0.21443736730360935,0.9512195121951219,0.19548872180451127,78,0.25528169014084506,151,0.37844611528822053,399
5.106937500000001,0.9,0.4339622641509434,0.21443736730360935,0.9512195121951219,0.20103092783505155,78,0.25528169014084506,150,0.3865979381443299,388
5.163059099999999,0.9,0.4339622641509434,0.2059447983014862,0.9512195121951219,0.21195652173913043,78,0.2482394366197183,146,0.3967391304347826,368
5.2232980000000016,0.88,0.42452830188679247,0.20382165605095542,0.9390243902439024,0.2175141242937853,77,0.24471830985915494,143,0.403954802259887,354
5.29437,0.88,0.42452830188679247,0.20169851380042464,0.9390243902439024,0.22448979591836735,77,0.24295774647887325,142,0.4139941690962099,343
5.3639328,0.88,0.41509433962264153,0.19745222929936307,0.9390243902439024,0.2361963190184049,77,0.23767605633802816,139,0.4263803680981595,326
5.43414885,0.88,0.41509433962264153,0.19745222929936307,0.9390243902439024,0.24290220820189273,77,0.23767605633802816,139,0.4384858044164038,317
5.515713400000001,0.88,0.4056603773584906,0.19745222929936307,0.9390243902439024,0.25496688741721857,77,0.23591549295774647,138,0.45695364238410596,302
5.609742350000001,0.88,0.39622641509433965,0.1910828025477707,0.9390243902439024,0.27898550724637683,77,0.22887323943661972,134,0.4855072463768116,276
5.711204,0.88,0.39622641509433965,0.1910828025477707,0.9390243902439024,0.29277566539923955,77,0.22887323943661972,134,0.5095057034220533,263
5.832022100000001,0.87,0.39622641509433965,0.18683651804670912,0.926829268292683,0.3140495867768595,76,0.22359154929577466,131,0.5413223140495868,242
5.966476200000002,0.87,0.3867924528301887,0.18046709129511676,0.926829268292683,0.34545454545454546,76,0.21830985915492956,128,0.5818181818181818,220
6.12062285,0.87,0.3867924528301887,0.1740976645435244,0.926829268292683,0.3671497584541063,76,0.2130281690140845,125,0.6038647342995169,207
6.2958075,0.84,0.37735849056603776,0.16772823779193205,0.9024390243902439,0.4065934065934066,74,0.20422535211267606,119,0.6538461538461539,182
6.52273275,0.79,0.3584905660377358,0.15074309978768577,0.8414634146341463,0.42857142857142855,69,0.18838028169014084,111,0.6894409937888198,161
6.826352000000003,0.75,0.3584905660377358,0.1337579617834395,0.8048780487804879,0.4748201438848921,66,0.17253521126760563,102,0.7338129496402878,139
7.2506403000000015,0.68,0.330188679245283,0.10828025477707007,0.7439024390243902,0.5754716981132075,61,0.14612676056338028,86,0.8113207547169812,106
8.015295900000002,0.51,0.24528301886792453,0.08067940552016985,0.5853658536585366,0.7164179104477612,48,0.10211267605633803,60,0.8955223880597015,67
10.066431499999998,0.35,0.19811320754716982,0.050955414012738856,0.4146341463414634,0.9714285714285714,34,0.061619718309859156,35,1.0,35
