mpp,PSZ2,MCXC,ACT,eROSITA,precision_eROSITA,found_eROSITA,PSZ2(z),precision_PSZ2(z),found_PSZ2(z),all_true,found,precision,all
0.3129927716880091,0.016666666666666666,0.05,0.06870229007633588,0.046182846371347785,0.13623188405797101,47,0.02,0.002898550724637681,1,0.0594059405940594,50,0.14492753623188406,345
0.35652587922995793,0.016666666666666666,0.03333333333333333,0.05343511450381679,0.03204524033930255,0.1350210970464135,32,0.02,0.004219409282700422,1,0.04950495049504951,34,0.14345991561181434,237
0.4096072451730044,0.016666666666666666,0.016666666666666666,0.04580152671755725,0.030160226201696512,0.17045454545454544,30,0.02,0.005681818181818182,1,0.039603960396039604,32,0.18181818181818182,176
0.4442802464094558,0.016666666666666666,0.016666666666666666,0.030534351145038167,0.022620169651272386,0.16058394160583941,22,0.02,0.0072992700729927005,1,0.0297029702970297,24,0.17518248175182483,137
0.4877168221224365,0.016666666666666666,0.016666666666666666,0.030534351145038167,0.020735155513666354,0.19607843137254902,20,0.02,0.00980392156862745,1,0.0297029702970297,22,0.21568627450980393,102
0.5241488628971116,0.016666666666666666,0.016666666666666666,0.022900763358778626,0.01885014137606032,0.23376623376623376,18,0.02,0.012987012987012988,1,0.024752475247524754,20,0.2597402597402597,77
0.5602195825793492,0.016666666666666666,0.016666666666666666,0.015267175572519083,0.016022620169651274,0.25,15,0.02,0.016666666666666666,1,0.019801980198019802,17,0.2833333333333333,60
0.6066513525231565,0.016666666666666666,0.0,0.015267175572519083,0.012252591894439209,0.2558139534883721,11,0.02,0.023255813953488372,1,0.01485148514851485,12,0.27906976744186046,43
0.6624584316204635,0.016666666666666666,0.0,0.015267175572519083,0.00942507068803016,0.32142857142857145,9,0.02,0.03571428571428571,1,0.01485148514851485,10,0.35714285714285715,28
0.7094912542066343,0.016666666666666666,0.0,0.007633587786259542,0.005655042412818096,0.2857142857142857,6,0.02,0.047619047619047616,1,0.009900990099009901,7,0.3333333333333333,21
0.7628088634005377,0.016666666666666666,0.0,0.0,0.00471253534401508,0.2777777777777778,5,0.02,0.05555555555555555,1,0.0049504950495049506,6,0.3333333333333333,18
0.8266870587916961,0.016666666666666666,0.0,0.0,0.00471253534401508,0.45454545454545453,5,0.02,0.09090909090909091,1,0.0049504950495049506,6,0.5454545454545454,11
0.867350535791996,0.016666666666666666,0.0,0.0,0.00471253534401508,0.5555555555555556,5,0.02,0.1111111111111111,1,0.0049504950495049506,6,0.6666666666666666,9
0.8973715091203156,0.016666666666666666,0.0,0.0,0.001885014137606032,0.5,2,0.02,0.25,1,0.0049504950495049506,3,0.75,4
0.9276642570389398,0.016666666666666666,0.0,0.0,0.001885014137606032,0.5,2,0.02,0.25,1,0.0049504950495049506,3,0.75,4
0.9577818529201227,0.016666666666666666,0.0,0.0,0.0,0.0,0,0.02,0.5,1,0.0049504950495049506,1,0.5,2
0.9865237662563088,0.016666666666666666,0.0,0.0,0.0,0.0,0,0.02,1.0,1,0.0049504950495049506,1,1.0,1
