s/n,PSZ2,MCXC,ACT,eROSITA,precision_eROSITA,found_eROSITA,PSZ2(z),precision_PSZ2(z),found_PSZ2(z),all_true,found,precision,all
5.05335105,0.03389830508474576,0.06153846153846154,0.030534351145038167,0.04329524954900782,0.21546052631578946,131,0.022222222222222223,0.003289473684210526,2,0.0410958904109589,133,0.21875,608
5.106937500000001,0.03389830508474576,0.06153846153846154,0.030534351145038167,0.04209260372820205,0.22377622377622378,128,0.022222222222222223,0.0034965034965034965,2,0.0410958904109589,130,0.22727272727272727,572
5.163059099999999,0.03389830508474576,0.06153846153846154,0.030534351145038167,0.03998797354179194,0.22676579925650558,122,0.022222222222222223,0.0037174721189591076,2,0.0410958904109589,124,0.23048327137546468,538
5.2232980000000016,0.03389830508474576,0.06153846153846154,0.022900763358778626,0.037282020444978956,0.226,113,0.022222222222222223,0.004,2,0.03767123287671233,115,0.23,500
5.29437,0.03389830508474576,0.06153846153846154,0.022900763358778626,0.03517739025856885,0.23160173160173161,107,0.022222222222222223,0.004329004329004329,2,0.03767123287671233,109,0.23593073593073594,462
5.3639328,0.03389830508474576,0.06153846153846154,0.022900763358778626,0.03307276007215875,0.2375296912114014,100,0.022222222222222223,0.004750593824228029,2,0.03767123287671233,102,0.24228028503562946,421
5.43414885,0.03389830508474576,0.05384615384615385,0.022900763358778626,0.03096812988574865,0.23979591836734693,94,0.022222222222222223,0.00510204081632653,2,0.03424657534246575,96,0.24489795918367346,392
5.515713400000001,0.03389830508474576,0.05384615384615385,0.022900763358778626,0.02916416115453999,0.24175824175824176,88,0.022222222222222223,0.005494505494505495,2,0.03424657534246575,90,0.24725274725274726,364
5.609742350000001,0.03389830508474576,0.05384615384615385,0.022900763358778626,0.028562838244137103,0.25671641791044775,86,0.022222222222222223,0.005970149253731343,2,0.03424657534246575,88,0.2626865671641791,335
5.711204,0.03389830508474576,0.05384615384615385,0.022900763358778626,0.025856885147324114,0.27177700348432055,78,0.022222222222222223,0.006968641114982578,2,0.03424657534246575,80,0.2787456445993031,287
5.832022100000001,0.025423728813559324,0.046153846153846156,0.015267175572519083,0.023150932050511126,0.28512396694214875,69,0.022222222222222223,0.008264462809917356,2,0.0273972602739726,69,0.28512396694214875,242
5.966476200000002,0.025423728813559324,0.046153846153846156,0.007633587786259542,0.01984365604329525,0.28640776699029125,59,0.022222222222222223,0.009708737864077669,2,0.023972602739726026,59,0.28640776699029125,206
6.12062285,0.025423728813559324,0.046153846153846156,0.007633587786259542,0.018340348767288035,0.3176470588235294,54,0.022222222222222223,0.011764705882352941,2,0.023972602739726026,54,0.3176470588235294,170
6.2958075,0.025423728813559324,0.038461538461538464,0.007633587786259542,0.015333734215273603,0.34057971014492755,47,0.022222222222222223,0.014492753623188406,2,0.02054794520547945,47,0.34057971014492755,138
6.52273275,0.025423728813559324,0.038461538461538464,0.007633587786259542,0.01232711966325917,0.35454545454545455,39,0.022222222222222223,0.01818181818181818,2,0.02054794520547945,39,0.35454545454545455,110
6.826352000000003,0.025423728813559324,0.03076923076923077,0.007633587786259542,0.00841852074564041,0.38028169014084506,27,0.022222222222222223,0.028169014084507043,2,0.017123287671232876,27,0.38028169014084506,71
7.2506403000000015,0.01694915254237288,0.023076923076923078,0.007633587786259542,0.005411906193625977,0.43902439024390244,18,0.022222222222222223,0.04878048780487805,2,0.0136986301369863,18,0.43902439024390244,41
8.015295900000002,0.00847457627118644,0.023076923076923078,0.007633587786259542,0.0027059530968129887,0.5,9,0.011111111111111112,0.05555555555555555,1,0.010273972602739725,9,0.5,18
10.066431499999998,0.00847457627118644,0.023076923076923078,0.007633587786259542,0.0012026458208057728,0.6666666666666666,4,0.011111111111111112,0.16666666666666666,1,0.010273972602739725,4,0.6666666666666666,6
