mpp,PSZ2,MCXC,ACT,PSZ2(z),precision_PSZ2(z),found_PSZ2(z),all_true,found,precision,all
0.31299254881379696,0.9137931034482759,0.45588235294117646,0.22560975609756098,0.9433962264150944,0.24509803921568626,50,0.2558746736292428,96,0.47058823529411764,204
0.35649336585991825,0.9137931034482759,0.45588235294117646,0.21341463414634146,0.9433962264150944,0.2777777777777778,50,0.2454308093994778,92,0.5111111111111111,180
0.4096423580931183,0.9137931034482759,0.45588235294117646,0.21036585365853658,0.9433962264150944,0.30120481927710846,50,0.24281984334203655,91,0.5481927710843374,166
0.4443050207513254,0.9137931034482759,0.45588235294117646,0.20121951219512196,0.9433962264150944,0.33112582781456956,50,0.2349869451697128,88,0.5827814569536424,151
0.4876749103076242,0.896551724137931,0.45588235294117646,0.19817073170731708,0.9245283018867925,0.3475177304964539,49,0.23237597911227154,87,0.6170212765957447,141
0.5241968471795828,0.8793103448275862,0.4411764705882353,0.18292682926829268,0.9056603773584906,0.3779527559055118,48,0.21409921671018275,80,0.6299212598425197,127
0.5605134897690243,0.8793103448275862,0.4411764705882353,0.17682926829268292,0.9056603773584906,0.42105263157894735,48,0.20887728459530025,78,0.6842105263157895,114
0.6065145087499619,0.8620689655172413,0.4117647058823529,0.16158536585365854,0.8867924528301887,0.46078431372549017,47,0.1906005221932115,72,0.7058823529411765,102
0.6623525420503876,0.8103448275862069,0.39705882352941174,0.14939024390243902,0.8490566037735849,0.5056179775280899,45,0.17493472584856398,65,0.7303370786516854,89
0.7097693743669714,0.7931034482758621,0.39705882352941174,0.13719512195121952,0.8301886792452831,0.5569620253164557,44,0.16449086161879894,61,0.7721518987341772,79
0.7631530802544688,0.7758620689655172,0.38235294117647056,0.11585365853658537,0.8113207547169812,0.6323529411764706,43,0.14360313315926893,55,0.8088235294117647,68
0.8271784277872449,0.7758620689655172,0.38235294117647056,0.11280487804878049,0.8113207547169812,0.671875,43,0.1409921671018277,54,0.84375,64
0.8671567425462425,0.7241379310344828,0.36764705882352944,0.10365853658536585,0.7735849056603774,0.7192982456140351,41,0.13054830287206268,50,0.8771929824561403,57
0.8975700740247573,0.6896551724137931,0.35294117647058826,0.09146341463414634,0.7358490566037735,0.7647058823529411,39,0.1174934725848564,45,0.8823529411764706,51
0.9276292167374928,0.6379310344827587,0.3382352941176471,0.08231707317073171,0.6981132075471698,0.8222222222222222,37,0.10704960835509138,40,0.8888888888888888,45
0.9571997108166814,0.5689655172413793,0.3235294117647059,0.07317073170731707,0.6226415094339622,0.8918918918918919,33,0.09399477806788512,35,0.9459459459459459,37
0.986529221281272,0.43103448275862066,0.2647058823529412,0.057926829268292686,0.4716981132075472,0.9615384615384616,25,0.07049608355091384,26,1.0,26
1.0,0.29310344827586204,0.17647058823529413,0.04878048780487805,0.32075471698113206,1.0,17,0.044386422976501305,17,1.0,17
