mpp_er,PSZ2,MCXC,ACT,PSZ2(z),precision_PSZ2(z),found_PSZ2(z),all_true,found,precision,all
0.2711781244957173,0.93,0.4528301886792453,0.25477707006369427,0.9634146341463414,0.09404761904761905,79,0.2887323943661972,171,0.20357142857142857,840
0.27775664565564423,0.92,0.4528301886792453,0.25477707006369427,0.9634146341463414,0.09887359198998748,79,0.2887323943661972,170,0.2127659574468085,799
0.2850808595888334,0.92,0.4528301886792453,0.24628450106157113,0.9634146341463414,0.10505319148936171,79,0.28169014084507044,166,0.22074468085106383,752
0.2927951612211424,0.9,0.44339622641509435,0.24416135881104034,0.9512195121951219,0.11001410437235543,78,0.27816901408450706,163,0.229901269393512,709
0.3019812180452219,0.9,0.44339622641509435,0.24203821656050956,0.9512195121951219,0.11607142857142858,78,0.2764084507042254,162,0.24107142857142858,672
0.3117242849761702,0.9,0.4339622641509434,0.23354564755838642,0.9512195121951219,0.1262135922330097,78,0.2676056338028169,157,0.2540453074433657,618
0.3198858716054964,0.9,0.4339622641509434,0.22929936305732485,0.9512195121951219,0.13379073756432247,78,0.2640845070422535,155,0.2658662092624357,583
0.3330095033331659,0.9,0.41509433962264153,0.22929936305732485,0.9512195121951219,0.14579439252336449,78,0.2605633802816901,153,0.28598130841121494,535
0.3468031041042844,0.9,0.4056603773584906,0.2208067940552017,0.9512195121951219,0.1601642710472279,78,0.2517605633802817,148,0.30390143737166325,487
0.3654998050874693,0.9,0.4056603773584906,0.2208067940552017,0.9512195121951219,0.17371937639198218,78,0.2517605633802817,148,0.32962138084632514,449
0.382691395532084,0.89,0.4056603773584906,0.21656050955414013,0.9390243902439024,0.19154228855721392,77,0.24647887323943662,145,0.36069651741293535,402
0.4025069597395088,0.89,0.39622641509433965,0.208067940552017,0.9390243902439024,0.21448467966573817,77,0.23943661971830985,141,0.39275766016713093,359
0.4322878128466696,0.88,0.39622641509433965,0.19532908704883228,0.9390243902439024,0.24367088607594936,77,0.22887323943661972,135,0.4272151898734177,316
0.4588078170435314,0.85,0.3867924528301887,0.18683651804670912,0.9146341463414634,0.28517110266159695,75,0.21830985915492956,128,0.4866920152091255,263
0.4955594870064981,0.8,0.36792452830188677,0.16772823779193205,0.8536585365853658,0.3125,70,0.2007042253521127,119,0.53125,224
0.5338891896706695,0.76,0.36792452830188677,0.14861995753715498,0.8170731707317073,0.366120218579235,67,0.18309859154929578,109,0.5956284153005464,183
0.5904564510772842,0.69,0.33962264150943394,0.11677282377919321,0.7560975609756098,0.46616541353383456,62,0.15140845070422534,90,0.6766917293233082,133
0.6681535990504106,0.52,0.25471698113207547,0.08492569002123142,0.5975609756097561,0.6363636363636364,49,0.10387323943661972,62,0.8051948051948052,77
0.7857168112168691,0.37,0.20754716981132076,0.05732484076433121,0.43902439024390244,0.9473684210526315,36,0.06514084507042253,38,1.0,38
0.7869103827099322,0.32,0.1792452830188679,0.055201698513800426,0.3902439024390244,1.0,32,0.056338028169014086,32,1.0,32
0.7910575411599248,0.21,0.12264150943396226,0.03821656050955414,0.25609756097560976,1.0,21,0.03697183098591549,21,1.0,21
