s/n,PSZ2,MCXC,ACT,eROSITA,precision_eROSITA,found_eROSITA,PSZ2(z),precision_PSZ2(z),found_PSZ2(z),all_true,found,precision,all
5.05335105,0.05,0.1,0.030534351145038167,0.021677662582469368,0.12,21,0.04,0.011428571428571429,2,0.04950495049504951,23,0.13142857142857142,175
5.106937500000001,0.05,0.1,0.030534351145038167,0.020735155513666354,0.1282051282051282,20,0.04,0.01282051282051282,2,0.04950495049504951,22,0.14102564102564102,156
5.163059099999999,0.05,0.1,0.030534351145038167,0.01885014137606032,0.1310344827586207,19,0.04,0.013793103448275862,2,0.04950495049504951,21,0.14482758620689656,145
5.2232980000000016,0.05,0.1,0.022900763358778626,0.016965127238454288,0.12686567164179105,17,0.04,0.014925373134328358,2,0.04455445544554455,19,0.1417910447761194,134
5.29437,0.05,0.1,0.022900763358778626,0.016965127238454288,0.136,17,0.04,0.016,2,0.04455445544554455,19,0.152,125
5.3639328,0.05,0.1,0.022900763358778626,0.016022620169651274,0.1415929203539823,16,0.04,0.017699115044247787,2,0.04455445544554455,18,0.1592920353982301,113
5.43414885,0.05,0.08333333333333333,0.022900763358778626,0.01413760603204524,0.14018691588785046,15,0.04,0.018691588785046728,2,0.039603960396039604,17,0.1588785046728972,107
5.515713400000001,0.05,0.08333333333333333,0.022900763358778626,0.01413760603204524,0.15306122448979592,15,0.04,0.02040816326530612,2,0.039603960396039604,17,0.17346938775510204,98
5.609742350000001,0.05,0.08333333333333333,0.022900763358778626,0.01413760603204524,0.16483516483516483,15,0.04,0.02197802197802198,2,0.039603960396039604,17,0.18681318681318682,91
5.711204,0.05,0.08333333333333333,0.022900763358778626,0.012252591894439209,0.16883116883116883,13,0.04,0.025974025974025976,2,0.039603960396039604,15,0.19480519480519481,77
5.832022100000001,0.03333333333333333,0.06666666666666667,0.015267175572519083,0.00942507068803016,0.15873015873015872,10,0.04,0.031746031746031744,2,0.0297029702970297,10,0.15873015873015872,63
5.966476200000002,0.03333333333333333,0.06666666666666667,0.007633587786259542,0.006597549481621112,0.12962962962962962,7,0.04,0.037037037037037035,2,0.024752475247524754,7,0.12962962962962962,54
6.12062285,0.03333333333333333,0.06666666666666667,0.007633587786259542,0.006597549481621112,0.17073170731707318,7,0.04,0.04878048780487805,2,0.024752475247524754,7,0.17073170731707318,41
6.2958075,0.03333333333333333,0.05,0.007633587786259542,0.005655042412818096,0.16666666666666666,6,0.04,0.05555555555555555,2,0.019801980198019802,6,0.16666666666666666,36
6.52273275,0.03333333333333333,0.05,0.007633587786259542,0.005655042412818096,0.1935483870967742,6,0.04,0.06451612903225806,2,0.019801980198019802,6,0.1935483870967742,31
6.826352000000003,0.03333333333333333,0.05,0.007633587786259542,0.00471253534401508,0.2631578947368421,5,0.04,0.10526315789473684,2,0.019801980198019802,5,0.2631578947368421,19
7.2506403000000015,0.03333333333333333,0.05,0.007633587786259542,0.003770028275212064,0.36363636363636365,4,0.04,0.18181818181818182,2,0.019801980198019802,4,0.36363636363636365,11
8.015295900000002,0.016666666666666666,0.05,0.007633587786259542,0.001885014137606032,0.2857142857142857,2,0.02,0.14285714285714285,1,0.01485148514851485,2,0.2857142857142857,7
10.066431499999998,0.016666666666666666,0.05,0.007633587786259542,0.001885014137606032,0.5,2,0.02,0.25,1,0.01485148514851485,2,0.5,4
