RA,DEC,z
24.3312,7.9377,0.0
24.5277,18.1373,0.0
24.3642,-12.9791,0.211
24.4895,-12.7793,0.207
24.5764,-6.9462,0.1617
24.7297,18.8869,0.0692
24.7446,-10.2465,0.1282
24.9535,18.1864,0.0
24.7949,-10.0466,0.1289
24.8581,-3.6301,0.0
24.8671,-11.3634,0.0
25.1436,24.5194,0.0
25.0191,-10.3637,0.1874
25.0867,-1.8305,0.0
25.2556,18.9191,0.1731
25.0538,-17.4138,0.0
25.1159,-11.8473,0.1874
25.2409,0.2692,0.0
25.2154,-23.0475,0.0
25.3408,-11.7811,0.0
25.4812,7.6187,0.0618
25.4059,-16.2479,0.0
25.4851,-14.3147,0.0
25.6189,-10.2316,0.1117
26.0557,18.4841,0.0
26.0289,6.3842,0.079
26.1777,5.8005,0.07
26.3041,17.6336,0.0
26.2106,-2.2662,0.0
26.6854,20.0495,0.0
26.7596,19.6826,0.0
26.5996,-7.3004,0.0
26.6595,-2.7005,0.0
26.9623,20.6489,0.0
26.8082,-3.2841,0.0
26.8361,-1.9842,0.0
26.907,-3.851,0.0
27.2467,13.9816,0.0706
27.5205,23.4643,0.0
27.5633,-11.9858,0.1273
27.9746,33.1633,0.0348
27.8603,-2.2365,0.0467
28.2102,36.1461,0.0161
28.3406,37.5625,0.0
27.9529,-25.77,0.0
28.0994,-7.0203,0.0
28.156,-4.1371,0.0
28.2177,1.0461,0.0
28.3378,-1.1209,0.0
28.3805,-4.321,0.0
28.4589,-2.8212,0.0
28.5194,1.762,0.0
28.8295,33.9447,0.0877
28.5329,-23.538,0.0
28.6758,-6.2717,0.1289
28.9502,14.6611,0.0
29.2836,41.3603,0.0
28.9481,-7.3723,0.0947
29.3252,32.2269,0.0896
29.0928,1.0607,0.0797
29.1362,-1.7727,0.0
29.2766,-5.8397,0.088
29.2413,-10.1063,0.0
29.2358,-22.0397,0.0
29.4638,-0.6402,0.0
29.4815,-3.7402,0.0
29.6111,-1.7739,0.0
30.0963,-7.8584,0.0
30.4368,18.4242,0.0
30.1767,-24.6252,0.0
30.5441,21.0239,0.0
30.41,-2.1758,0.0
30.6139,19.0904,0.0
30.4996,3.774,0.1631
30.5536,5.4072,0.0
30.6127,-1.0763,0.0
30.6077,-3.1263,0.0
30.5232,-25.5761,0.0
30.6922,-9.3431,0.0
31.1911,0.3223,0.0
31.3365,17.8553,0.0
31.3351,-2.0947,0.0
31.374,-24.7615,0.0
31.557,-3.312,0.0
31.6267,4.4879,0.0
31.6268,-14.9121,0.0
31.785,-11.7959,0.0
32.0173,10.4702,0.0
32.0068,-3.3464,0.0
32.073,3.0034,0.0
32.1294,5.4699,0.0
32.2931,19.7195,0.0
32.4029,4.8692,0.0
32.5228,2.9023,0.0
32.4064,-12.8975,0.0
32.5127,-0.9977,0.0
32.4798,-13.481,0.0
32.543,-8.5311,0.0
33.2153,26.4338,0.0
32.9581,-12.0989,0.0
33.2871,25.3836,0.0
32.9163,0.3846,0.0
33.3853,7.5,0.0
33.4077,-2.8667,0.0
33.4362,-1.5335,0.0
33.2437,-25.283,0.0
33.4213,-7.1168,0.0
33.2659,-26.1164,0.0
33.472,-6.8669,0.0
33.6782,-4.5341,0.0
33.8433,10.3321,0.0
33.8962,11.3653,0.0
33.878,-13.6014,0.0
34.1622,16.8479,0.0
34.0789,-4.2019,0.0
34.032,-12.1518,0.0
34.1596,-2.1188,0.0
34.4646,17.5138,0.0
34.3842,-11.2694,0.0
34.4403,-9.1029,0.0
34.605,-12.67,0.0
34.7427,-16.8037,0.0
34.9479,2.7291,0.0
34.777,-21.8538,0.0
35.4278,21.3612,0.0
35.3539,13.5947,0.0
35.62,26.394,0.0
36.462,41.875,0.0187
35.9908,-8.5905,0.274
36.5883,36.8246,0.0
36.262,-9.8246,0.0
36.3402,-8.7248,0.0
37.034,-2.1768,0.0
36.873,-22.0597,0.0
37.1444,1.4229,0.0
37.0551,-11.9269,0.0
37.2784,4.4725,0.0
37.3547,13.239,0.0
37.5508,-13.195,0.0576
37.7236,2.8212,0.0
37.8361,6.9875,0.0
37.8739,2.8874,0.0
37.9008,-4.8627,0.0
38.1937,9.4531,0.0
38.7917,8.6847,0.0
38.911,-1.4157,0.0
38.9238,-5.4324,0.0
39.1538,-19.3832,0.0
39.3527,-26.5005,0.0
39.9293,-3.5355,0.0
39.9604,-1.5856,0.373
40.2798,-11.22,0.0
40.9019,41.845,0.0
40.8613,27.995,0.0
40.8787,4.2449,0.0
41.2164,29.0606,0.0
41.4522,36.8599,0.0489
41.5118,27.8096,0.0
41.2554,-3.0897,0.0
41.3762,3.41,0.0
41.1004,-26.256,0.0
41.4882,-0.6404,0.0
41.7792,4.3087,0.0
42.029,-3.4922,0.0
42.0579,-2.2756,0.0
41.9162,-21.8085,0.0
42.5075,-17.1604,0.0
43.1161,28.1044,0.0
42.9029,-3.7617,0.0
42.8278,-24.9115,0.116
43.1896,-14.9627,0.0
43.382,-2.4966,0.0
43.5818,4.9361,0.0
43.6034,3.9194,0.0
43.4655,-14.6469,0.0
43.6303,-10.3808,0.0
44.3866,41.6003,0.0
44.2454,15.9506,0.0325
44.0362,-15.6822,0.0
44.4851,13.0164,0.0715
44.4107,6.0333,0.0232
44.7373,13.5823,0.0748
