s/n,PSZ2,MCXC,ACT,eROSITA,precision_eROSITA,found_eROSITA,PSZ2(z),precision_PSZ2(z),found_PSZ2(z),all_true,found,precision,all
0.2475378590518105,0.02238354506957048,0.03499713138267355,0.0266984505363528,0.029472646623952686,0.08007065057403591,544,0.012797074954296161,0.0020606417427141595,14,0.027353004522937756,712,0.10479835148660582,6794
0.2570354032997377,0.021778584392014518,0.03270223752151463,0.026221692491060787,0.02779694430754066,0.08126089022651671,513,0.011882998171846435,0.0020592428322509107,13,0.0264914925694594,677,0.1072390305718359,6313
0.2621705426463233,0.0205686630369026,0.0321285140562249,0.023837902264600714,0.026170527353376046,0.0819560402112796,481,0.011882998171846435,0.002215028113818368,13,0.024876157656687485,635,0.10819560402112796,5869
0.2705126567456517,0.0205686630369026,0.03155479059093517,0.02097735399284863,0.024691966485953672,0.08393418376779442,454,0.011882998171846435,0.0024034017378443337,13,0.022830066767176395,595,0.11000184877056757,5409
0.2834445603725031,0.0205686630369026,0.03098106712564544,0.01907032181168057,0.02306554953178906,0.08545454545454545,423,0.011882998171846435,0.0026262626262626263,13,0.021537798836958864,557,0.11252525252525253,4950
0.2970615202435166,0.019963702359346643,0.029259896729776247,0.01764004767580453,0.02109413504189256,0.08559964333481944,384,0.011882998171846435,0.0028979045920642,13,0.020137841912556537,510,0.11368702630405707,4486
0.3125162456007269,0.019358741681790685,0.027538726333907058,0.0166865315852205,0.01936914736323312,0.08647450110864745,351,0.011882998171846435,0.003202759300320276,13,0.019060951970708593,471,0.11603843311160385,4059
0.3290178307351159,0.019358741681790685,0.025243832472748137,0.015256257449344458,0.017397732873336617,0.08610729023383769,313,0.011882998171846435,0.003576341127922971,13,0.017014861081197503,420,0.1155433287482806,3635
0.3458003305785561,0.019358741681790685,0.024670109007458405,0.0133492252681764,0.016017742730409068,0.088,286,0.011882998171846435,0.004,13,0.015291837174240793,386,0.11876923076923077,3250
0.3677040644277965,0.018148820326678767,0.024096385542168676,0.012395709177592373,0.014736323311976343,0.0920546027301365,263,0.011882998171846435,0.004550227511375569,13,0.014430325220762439,354,0.12390619530976549,2857
0.3951707994817659,0.01693889897156685,0.022948938611589215,0.011442193087008343,0.013356333169048792,0.09605209605209605,236,0.010968921389396709,0.004884004884004884,12,0.013353435278914494,320,0.13024013024013023,2457
0.42083898536750985,0.01693889897156685,0.021227768215720023,0.010488676996424315,0.011286347954657466,0.09494274809160305,199,0.010968921389396709,0.0057251908396946565,12,0.012061167348696963,276,0.1316793893129771,2096
0.4583325992512213,0.01572897761645493,0.019506597819850834,0.008820023837902265,0.009659931000492854,0.09747706422018348,170,0.010054844606946984,0.006307339449541285,11,0.010445832435925048,237,0.13589449541284404,1744
0.494067344507461,0.013914095583787053,0.0189328743545611,0.008104886769964244,0.00823065549531789,0.10325318246110325,146,0.010054844606946984,0.007779349363507779,11,0.009692009476631487,206,0.1456859971711457,1414
0.5390076971521652,0.011494252873563218,0.01491681009753299,0.0059594755661501785,0.00665352390340069,0.10603290676416818,116,0.009140767824497258,0.009140767824497258,10,0.007215162610381219,159,0.1453382084095064,1094
0.5936664647329222,0.0102843315184513,0.013769363166953529,0.0038140643623361145,0.005125677673730902,0.11027568922305764,88,0.008226691042047532,0.011278195488721804,9,0.005276760715054922,119,0.14912280701754385,798
0.6854969273146023,0.008469449485783424,0.010327022375215147,0.0023837902264600714,0.003647116806308526,0.11588785046728972,62,0.007312614259597806,0.014953271028037384,8,0.0035537368080982125,86,0.16074766355140188,535
0.8127969237836196,0.007259528130671506,0.006310958118187034,0.0014302741358760429,0.001971414489896501,0.10891089108910891,33,0.005484460694698354,0.019801980198019802,6,0.0018307129011415034,46,0.15181518151815182,303
0.995273370078676,0.004234724742891712,0.002294893861158921,0.0007151370679380214,0.0005421389847215377,0.07627118644067797,9,0.003656307129798903,0.03389830508474576,4,0.0007538229592935602,15,0.1271186440677966,118
